
[PMH2004]|RAJ2000|DEJ2000|CFlux|Class
 |"h:m:s"|"d:m:s"|mW/m2|
---|-----------|-----------|---------|--------------------
321|01 34 42.68|+30 45 06.7| 9.84e-15|<hard>
322|01 34 44.61|+30 55 36.5| 2.83e-14|<hard>
323|01 34 44.82|+30 49 27.4| 2.16e-14|<hard>
324|01 34 45.21|+31 10 34.1| 4.92e-14|<hard>
325|01 34 47.03|+31 05 36.6| 5.46e-15|<hard>
326|01 34 47.31|+30 40 01.1| 3.62e-15|
327|01 34 47.59|+30 35 15.6| 4.90e-15|
328|01 34 47.78|+30 54 07.7| 2.07e-15|<hard>
329|01 34 48.17|+30 37 16.0| 2.48e-15|<hard>
330|01 34 48.98|+30 44 48.0| 9.09e-15|<hard>
331|01 34 49.00|+30 33 29.0| 4.50e-14|<hard>
333|01 34 50.59|+30 35 46.3| 3.17e-15|<hard>
334|01 34 51.05|+30 43 58.5| 3.43e-15|<hard>
335|01 34 51.82|+30 29 09.2| 1.56e-12|<hard>
336|01 34 51.87|+30 46 16.8| 8.83e-15|<hard>
338|01 34 53.25|+30 57 18.2| 1.26e-14|<hard>
339|01 34 56.63|+31 10 45.2| 2.51e-14|<hard>
340|01 34 57.26|+30 38 26.9| 4.69e-15|<hard>
341|01 34 58.42|+30 47 08.6| 4.11e-15|<hard>
342|01 35 00.33|+30 50 28.9| 6.54e-15|<hard>
343|01 35 00.70|+30 49 51.4| 6.01e-15|<hard>
344|01 35 00.96|+30 43 49.5| 1.46e-14|<hard>
345|01 35 01.43|+30 28 42.3| 9.31e-15|<hard>
347|01 35 02.65|+30 25 52.4| 5.23e-15|
348|01 35 02.90|+30 37 08.2| 5.05e-15|<hard>
350|01 35 04.96|+30 34 44.8| 6.78e-14|<hard>
351|01 35 05.68|+30 50 06.5| 8.13e-15|<hard>
352|01 35 05.69|+30 55 08.8| 4.71e-15|<hard>
353|01 35 05.84|+30 54 28.6| 2.79e-15|
354|01 35 05.98|+30 59 53.5| 5.14e-15|<hard>
355|01 35 07.31|+30 52 09.8| 4.50e-15|<hard>
356|01 35 07.91|+30 55 52.1| 2.30e-15|<hard>
